Block,DateTime (UTC),Txn,Fee Recipient,Fee Recipient Nametag,Gas Used,Gas Used(%), % Of Gas Target,Gas Limit,Base Fee,Reward,Burnt Fees (ETH),Burnt Fees (%)
"19785924","2024-05-03 00:10:59","148","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","14,239,863","47.47%","-5%","30,000,000","4.57 Gwei","0.0374 ETH","0.065149","63.53%"
"19785923","2024-05-03 00:10:47","145","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","12,098,767","40.33%","-19%","30,000,000","4.68 Gwei","0.02453 ETH","0.056725","69.80%"
"19785922","2024-05-03 00:10:35","101","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","17,629,500","58.77%","+18%","30,000,000","4.58 Gwei","0.02245 ETH","0.080884","78.27%"
"19785921","2024-05-03 00:10:23","243","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","21,900,757","73.00%","+46%","30,000,000","4.33 Gwei","0.0254 ETH","0.095016","78.90%"
"19785920","2024-05-03 00:10:11","99","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","7,932,683","26.44%","-47%","30,000,000","4.6 Gwei","0.01858 ETH","0.036570","66.30%"
"19785919","2024-05-03 00:09:59","225","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","23,466,942","78.22%","+56%","30,000,000","4.3 Gwei","0.03462 ETH","0.101052","74.48%"
"19785918","2024-05-03 00:09:47","118","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","9,695,885","32.32%","-35%","30,000,000","4.5 Gwei","0.01053 ETH","0.043683","80.57%"
"19785917","2024-05-03 00:09:35","147","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","12,414,955","41.38%","-17%","30,000,000","4.6 Gwei","0.02563 ETH","0.057164","69.04%"
"19785916","2024-05-03 00:09:23","127","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","11,466,223","38.22%","-24%","30,000,000","4.74 Gwei","0.05441 ETH","0.054398","49.99%"
"19785915","2024-05-03 00:09:11","175","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","14,063,274","46.88%","-6%","30,000,000","4.78 Gwei","0.03359 ETH","0.067244","66.69%"
"19785914","2024-05-03 00:08:59","161","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","29,980,929","99.94%","+100%","30,000,000","4.25 Gwei","0.01231 ETH","0.127444","91.19%"
"19785913","2024-05-03 00:08:47","93","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","8,371,057","27.90%","-44%","30,000,000","4.49 Gwei","0.02247 ETH","0.037665","62.63%"
"19785912","2024-05-03 00:08:35","189","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","15,585,954","51.95%","+4%","30,000,000","4.47 Gwei","0.00714 ETH","0.069786","90.71%"
"19785911","2024-05-03 00:08:23","145","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","10,086,975","33.62%","-33%","30,000,000","4.66 Gwei","0.03727 ETH","0.047093","55.82%"
"19785910","2024-05-03 00:08:11","169","0x864bd4e84bdf3dcee9f4212dc32f198277056e22","Fee Recipient: 0x864...E22","17,746,657","59.16%","+18%","30,000,000","4.56 Gwei","0.00856 ETH","0.080999","90.44%"
"19785909","2024-05-03 00:07:59","78","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","6,934,214","23.11%","-54%","30,000,000","4.89 Gwei","0.01136 ETH","0.033930","74.90%"
"19785908","2024-05-03 00:07:47","138","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","11,952,006","39.84%","-20%","30,000,000","5.02 Gwei","0.0106 ETH","0.060006","84.98%"
"19785907","2024-05-03 00:07:35","222","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","29,373,363","97.91%","+96%","30,000,000","4.48 Gwei","0.01134 ETH","0.131697","92.07%"
"19785906","2024-05-03 00:07:23","26","0x7e2a2fa2a064f693f0a55c5639476d913ff12d05","MEV Builder: 0x7e2...D05","1,812,788","6.04%","-88%","30,000,000","5.03 Gwei","0.01274 ETH","0.009131","41.74%"
"19785905","2024-05-03 00:07:11","194","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","23,186,863","77.29%","+55%","30,000,000","4.71 Gwei","0.01231 ETH","0.109336","89.87%"
"19785904","2024-05-03 00:06:59","136","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","12,849,527","42.83%","-14%","30,000,000","4.8 Gwei","0.00838 ETH","0.061696","88.03%"
"19785903","2024-05-03 00:06:47","85","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","8,837,861","29.46%","-41%","30,000,000","5.06 Gwei","0.01688 ETH","0.044732","72.59%"
"19785902","2024-05-03 00:06:35","170","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","28,627,851","95.43%","+91%","30,000,000","4.54 Gwei","0.02519 ETH","0.130119","83.78%"
"19785901","2024-05-03 00:06:23","91","0x1f1522b9621975321c3578bd40db5f07a122fc0d","","6,488,137","21.63%","-57%","30,000,000","4.89 Gwei","0.00525 ETH","0.031741","85.80%"
"19785900","2024-05-03 00:06:11","168","0x88c6c46ebf353a52bdbab708c23d0c81daa8134a","MEV Builder: 0x88c...34A","28,288,986","94.30%","+89%","30,000,000","4.4 Gwei","0.01655 ETH","0.124597","88.27%"
"19785899","2024-05-03 00:05:59","108","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","9,049,296","30.16%","-40%","30,000,000","4.63 Gwei","0.01696 ETH","0.041937","71.19%"
"19785898","2024-05-03 00:05:47","126","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","9,750,552","32.50%","-35%","30,000,000","4.84 Gwei","0.01114 ETH","0.047254","80.92%"
"19785897","2024-05-03 00:05:35","102","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","7,647,773","25.49%","-49%","30,000,000","5.16 Gwei","0.01289 ETH","0.039482","75.38%"
"19785896","2024-05-03 00:05:23","128","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","14,953,140","49.84%","0%","30,000,000","5.16 Gwei","0.01012 ETH","0.077227","88.41%"
"19785895","2024-05-03 00:05:11","202","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","27,390,105","91.30%","+83%","30,000,000","4.68 Gwei","0.01881 ETH","0.128219","87.20%"
"19785894","2024-05-03 00:04:59","250","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","19,080,813","63.60%","+27%","30,000,000","4.52 Gwei","0.01719 ETH","0.086384","83.40%"
"19785893","2024-05-03 00:04:47","102","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","6,883,276","22.94%","-54%","30,000,000","4.85 Gwei","0.0171 ETH","0.033423","66.15%"
"19785892","2024-05-03 00:04:35","87","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","8,464,821","28.22%","-44%","30,000,000","5.13 Gwei","0.0069 ETH","0.043470","86.29%"
"19785891","2024-05-03 00:04:23","302","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","25,095,733","83.65%","+67%","30,000,000","4.73 Gwei","0.00478 ETH","0.118875","96.13%"
"19785890","2024-05-03 00:04:11","85","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","29,997,587","99.99%","+100%","30,000,000","4.21 Gwei","0.01465 ETH","0.126309","89.60%"
"19785889","2024-05-03 00:03:59","112","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","17,054,890","56.85%","+14%","30,000,000","4.13 Gwei","0.01629 ETH","0.070603","81.24%"
"19785888","2024-05-03 00:03:47","104","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","8,907,229","29.69%","-41%","30,000,000","4.36 Gwei","0.00963 ETH","0.038846","80.13%"
"19785887","2024-05-03 00:03:35","144","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","9,955,065","33.18%","-34%","30,000,000","4.55 Gwei","0.03121 ETH","0.045321","59.21%"
"19785886","2024-05-03 00:03:23","119","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","10,505,661","35.02%","-30%","30,000,000","4.72 Gwei","0.01027 ETH","0.049689","82.86%"
"19785885","2024-05-03 00:03:11","123","0x388c818ca8b9251b393131c08a736a67ccb19297","Lido: Execution Layer Rewards Vault","19,320,050","64.40%","+29%","30,000,000","4.56 Gwei","0.00594 ETH","0.088203","93.68%"
"19785884","2024-05-03 00:02:59","114","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","11,083,013","36.94%","-26%","30,000,000","4.71 Gwei","0.00916 ETH","0.052305","85.09%"
"19785883","2024-05-03 00:02:47","119","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","24,046,897","80.16%","+60%","30,000,000","4.38 Gwei","0.02382 ETH","0.105531","81.58%"
"19785882","2024-05-03 00:02:35","166","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","13,202,869","44.01%","-12%","30,000,000","4.45 Gwei","0.01523 ETH","0.058822","79.43%"
"19785881","2024-05-03 00:02:23","133","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","12,903,602","43.01%","-14%","30,000,000","4.53 Gwei","0.0247 ETH","0.058511","70.31%"
"19785880","2024-05-03 00:02:11","171","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","14,880,629","49.60%","-1%","30,000,000","4.53 Gwei","0.01512 ETH","0.067543","81.71%"
"19785879","2024-05-03 00:01:59","137","0x3b64216ad1a58f61538b4fa1b27327675ab7ed67","Boba Builder","12,995,740","43.32%","-13%","30,000,000","4.61 Gwei","0.00352 ETH","0.059990","94.44%"
"19785878","2024-05-03 00:01:47","127","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","11,404,182","38.01%","-24%","30,000,000","4.75 Gwei","0.01156 ETH","0.054269","82.44%"
